city,trip
"Akron, OH","['Albany, NY', 'Alexandria, LA', 'Allentown, PA', 'Amarillo, TX', 'Anderson, SC', 'Ann Arbor, MI', 'Athens, OH', 'Atlanta, GA', 'Augusta, GA', 'Austin, TX', 'Baltimore, MD', 'Baton Rouge, LA', 'Beckley, WV', 'Biloxi, MS', 'Binghamton, NY', 'Birmingham, AL', 'Bloomington, IL', 'Boston, MA', 'Bowling Green, OH', 'Buffalo, NY', 'Buffalo, WY', 'Charlotte, NC', 'Chicago 95th & Dan Ryan, IL', 'Chicago, IL', 'Cincinnati, OH', 'Cleveland, MS', 'Cleveland, OH', 'Columbia, SC', 'Columbus, OH', 'Cookeville, TN', 'Dallas, TX', 'Dayton, OH', 'Denver, CO', 'Des Moines, IA', 'Detroit, MI', 'Erie, PA', 'Evansville, IN', 'Fargo, ND', 'Fayetteville, AR', 'Fayetteville, NC', 'Flint, MI', 'Florence, SC', 'Fort Lauderdale, FL', 'Fort Wayne, IN', 'Fort Worth, TX', 'Frederick, MD', 'Fredericksburg, VA', 'Gainesville, FL', 'Goshen, IN', 'Grand Rapids, MI', 'Greeneville, TN', 'Greensboro, NC', 'Greenville, SC', 'Harrisburg, PA', 'Hartford, CT', 'Houston, TX', 'Huntsville, AL', 'Indiana, PA', 'Indianapolis, IN', 'Iowa City, IA', 'Jackson, MI', 'Jackson, MS', 'Jackson, TN', 'Jacksonville, FL', 'Jonesboro, AR', 'Junction City, KS', 'Kalamazoo, MI', 'Knoxville, TN', 'Lafayette, IN', 'Lansing, MI', 'Las Vegas, NV', 'Lewistown, PA', 'Lexington, KY', 'Lima, OH', 'Los Angeles, CA', 'Louisville, KY', 'Lynchburg, VA', 'Madisonville, KY', 'Mansfield, OH', 'Marietta, OH', 'Meadville, PA', 'Memphis, TN', 'Miami, FL', 'Milwaukee, WI', 'Minneapolis, MN', 'Mobile, AL', 'Moline, IL', 'Monroeville, PA', 'Monterrey, MX', 'Montgomery, AL', 'Montreal, QC', 'Morgantown, WV', 'Myrtle Beach, SC', 'Nashville, TN', 'New Haven, CT', 'New Orleans, LA', 'New York, NY', 'Newark, NJ', 'Newburgh, NY', 'Niagara Falls, NY', 'Niagara Falls, ON', 'Norfolk-Virginia Beach, VA', 'North Charleston, SC', 'Oklahoma City, OK', 'Olean, NY', 'Olympia, WA', 'Orlando, FL', 'Oxford, OH', 'Philadelphia, PA', 'Phoenix-Tempe, AZ', 'Pittsburgh, PA', 'Providence, RI', 'Pueblo, CO', 'Queens, NY', 'Raleigh, NC', 'Richmond, VA', 'Roanoke, VA', 'Rochester, NY', 'Rockford, IL', 'Sacramento, CA', 'Saint Paul, MN', 'Salt Lake City, UT', 'San Antonio, TX', 'San Diego, CA', 'San Francisco, CA', 'Savannah, GA', 'Shelby, NC', 'Shreveport, LA', 'Silver Spring, MD', 'Southfield, MI', 'Spartanburg, SC', 'Springfield, IL', 'Springfield, OH', 'St Louis, MO', 'State College, PA', 'Syracuse, NY', 'Tallahassee, FL', 'Tampa, FL', 'Terre Haute, IN', 'Texarkana, TX', 'Toledo, OH', 'Toronto, ON', 'Tuscaloosa, AL', 'Washington, D.C.', 'Washington, PA', 'Watertown, NY', 'Wichita, KS', 'Wilmington-Newark, DE', 'Winston-Salem, NC', 'Worcester, MA', 'Wytheville, VA', 'Youngstown, OH']"
Aksaray,"['Ankara', 'Göreme', 'Konya']"
Akşehir,[]
Akyaka,"['Antalya', 'Kaş']"
Ala,[]
Alaca,[]
Alaçam,[]
Alakülä,[]
Alamo,[]
"Alamogordo, NM","['Chicago, IL', 'Colorado Springs, CO', 'Corpus Christi, TX', 'El Paso, TX', 'Holbrook, AZ', 'Houston, TX', 'Las Vegas, NV', 'Los Angeles, CA', 'New York, NY', 'Norman, OK', 'Phoenix-Tempe, AZ', 'Pittsburgh, PA', 'San Antonio, TX', 'Tucson, AZ']"
Alanya,"['Adana', 'Antalya', 'Bodrum', 'Denizli', 'Göreme', 'Manavgat', 'Marmaris', 'Nevşehir', 'Silifke', 'İstanbul']"
Alaplı,[]
Alaşehir,[]
Alassio,[]
Alba Adriatica,"['Rome', 'Rome Fiumicino Airport']"
Alba di Canazei,[]
Alba Iulia,['Budapest']
Albacete,[]
"Albany, GA","['Albany, NY', 'Alexandria, LA', 'Allentown, PA', 'Atlanta, GA', 'Augusta, GA', 'Austin, TX', 'Baltimore, MD', 'Baton Rouge, LA', 'Biloxi, MS', 'Birmingham, AL', 'Boca Raton, FL', 'Boston, MA', 'Brunswick, GA', 'Charlotte, NC', 'Chicago 95th & Dan Ryan, IL', 'Chicago, IL', 'Cincinnati, OH', 'Clarksville, TN', 'Cleveland, OH', 'Colorado Springs, CO', 'Columbia, SC', 'Columbus, OH', 'Corpus Christi, TX', 'Dallas, TX', 'Daytona Beach, FL', 'Denver, CO', 'Detroit, MI', 'Dothan, AL', 'El Paso, TX', 'Elyria, OH', 'Fayetteville, NC', 'Fort Lauderdale, FL', 'Fort Myers, FL', 'Fort Pierce, FL', 'Fort Walton Beach, FL', 'Gainesville, FL', 'Gainesville, GA', 'Greensboro, NC', 'Greenville, SC', 'Harrisburg, PA', 'Hartford, CT', 'Hinesville, GA', 'Houston, TX', 'Huntsville, AL', 'Indianapolis, IN', 'Jacksonville, FL', 'Jacksonville, NC', 'Kansas City, MO', 'Key West, FL', 'Kissimmee, FL', 'Knoxville, TN', 'La Grange, GA', 'Lafayette, LA', 'Lake City, FL', 'Lakeland, FL', 'Las Vegas, NV', 'Lexington, KY', 'Los Angeles, CA', 'Louisville, KY', 'Lynchburg, VA', 'Macon, GA', 'Memphis, TN', 'Miami, FL', 'Minneapolis, MN', 'Mobile, AL', 'Montgomery, AL', 'Nashville, TN', 'New Orleans, LA', 'New York, NY', 'Newark, NJ', 'Norcross, GA', 'Norfolk-Virginia Beach, VA', 'Oklahoma City, OK', 'Orangeburg, SC', 'Orlando, FL', 'Panama City, FL', 'Philadelphia, PA', 'Phoenix-Tempe, AZ', 'Pittsburgh, PA', 'Raleigh, NC', 'Richmond, VA', 'Rochester, NY', 'Salisbury, NC', 'Salt Lake City, UT', 'San Antonio, TX', 'San Diego, CA', 'Sarasota, FL', 'Savannah, GA', 'Shreveport, LA', 'Springfield, MO', 'St. Petersburg, FL', 'Syracuse, NY', 'Tallahassee, FL', 'Tampa, FL', 'Titusville, FL', 'Tupelo, MS', 'Tuscaloosa, AL', 'Washington, D.C.', 'West Palm Beach, FL', 'Wildwood, GA', 'Winston-Salem, NC']"
